Gas Miles Delta DMPG TMPG AtMPG
9.289 3273 334 35.95651 35.95651 35.95651
9.281 3641 368 39.65090 37.80291 36.87971
8.788 3963 322 36.64087 37.42964 37.06302
8.810 4309 346 39.27355 37.87879 37.26696
8.450 4650 341 40.35503 38.34775 37.48312
9.375 4984 334 35.62667 37.87528 37.54848
9.263 5339 355 38.32452 37.94106 37.60456
8.859 5697 358 40.41088 38.24447 37.68455
9.224 6066 369 40.00434 38.44404 37.76894
7.397 6344 278 37.58280 38.37225 37.82927
9.186 6703 359 39.08121 38.43876 37.88468
9.846 7095 392 39.81312 38.56432 37.94132
9.247 7424 329 35.57911 38.32842 37.97109
7.885 7721 297 37.66646 38.28663 37.99363
9.592 8131 410 42.74395 38.60453 38.03436
9.469 8475 344 36.32907 38.45486 38.06064
7.216 8746 271 37.55543 38.41193 38.08130
9.755 9110 364 37.31420 38.34539 38.09597
9.385 9494 384 40.91636 38.48706 38.11656
8.736 9849 355 40.63645 38.59193 38.14033
7.721 10153 304 39.37314 38.62422 38.16337
9.002 10533 380 42.21284 38.78923 38.19182
8.110 10861 328 40.44390 38.85505 38.22065
9.412 11260 399 42.39269 39.01115 38.25359
8.862 11605 345 38.93026 39.00792 38.28376
8.998 11961 356 39.56435 39.02958 38.31245
9.395 12359 398 42.36296 39.15977 38.34383
8.263 12692 333 40.30013 39.19764 38.37432
7.512 12991 299 39.80298 39.21538 38.40333
9.606 13347 356 37.06017 39.13753 38.42780
8.411 13681 334 39.70990 39.15508 38.45126
8.924 14034 353 39.55625 39.16772 38.47365
8.417 14365 331 39.32518 39.17226 38.49482
8.548 14704 339 39.65840 39.18610 38.51515
7.524 14999 295 39.20787 39.18663 38.53434
8.670 15360 361 41.63783 39.25380 38.55432
8.794 15718 358 40.70957 39.29316 38.57429
8.303 16053 335 40.34686 39.31939 38.59390
8.219 16394 341 41.48923 39.37158 38.61384
8.599 16712 318 36.98104 39.31290 38.63131
9.408 17092 380 40.39116 39.34110 38.64863
7.478 17382 290 38.78042 39.32968 38.66484
8.228 17717 335 40.71463 39.36003 38.68101
7.796 18005 288 36.94202 39.31085 38.69532
8.671 18317 312 35.98201 39.23720 38.70737
